Adj Close,Close,Date,High,Low,Open,Volume
77.936752,79.809998,2017-06-01,79.809998,78.599998,78.639999,8153100
77.751213,79.620003,2017-06-02,79.93,79.220001,79.800003,7996500
78.376183,80.260002,2017-06-05,80.470001,79.480003,79.599998,10145700
77.077415,78.93,2017-06-06,79.559998,78.260002,79.43,11525900
77.292244,79.150002,2017-06-07,79.5,78.730003,79.080002,8511200
77.077415,78.93,2017-06-08,80.129997,78.230003,79.150002,10907600
77.555908,79.419998,2017-06-09,79.559998,78.720001,79.029999,9405100
77.380135,79.239998,2017-06-12,80.370003,78.839996,79.400002,10410600
77.653564,79.519997,2017-06-13,79.57,78.889999,79.209999,5528000
78.024643,79.900002,2017-06-14,80.040001,79.260002,79.519997,5006500
77.057877,78.910004,2017-06-15,79.300003,77.760002,79.18,11297200
73.474022,75.239998,2017-06-16,75.5,73.290001,73.949997,56233000
73.727913,75.5,2017-06-19,76.010002,74.519997,75.379997,16095100
73.766975,75.540001,2017-06-20,75.919998,75.32,75.879997,10019200
74.450546,76.239998,2017-06-21,76.610001,75.580002,75.599998,9011400
73.747437,75.519997,2017-06-22,76.059998,75.300003,76.029999,8111300
73.083405,74.839996,2017-06-23,75.779999,74.550003,75.599998,13080300
73.727913,75.5,2017-06-26,75.93,74.919998,74.949997,8587500
74.225945,76.010002,2017-06-27,76.370003,75.449997,75.5,6454400
74.714211,76.510002,2017-06-28,76.800003,76.139999,76.25,6988900
74.147827,75.93,2017-06-29,76.32,75.489998,76.25,7063500
73.903694,75.68,2017-06-30,76.269997,75.669998,76.080002,6963300
73.591202,75.360001,2017-07-03,76.339996,75.080002,75.839996,4848600
73.552139,75.32,2017-07-05,75.949997,75.169998,75.550003,6036900
73.698624,75.470001,2017-07-06,75.970001,75.239998,75.349998,6161800
73.561905,75.330002,2017-07-07,75.82,75.050003,75.650002,5307100
71.5112,73.230003,2017-07-10,75.309998,73.129997,75.150002,15066700
71.745567,73.470001,2017-07-11,74.050003,73.330002,73.379997,7532600
72.204529,73.940002,2017-07-12,74.209999,73.660004,73.660004,5700200
73.288483,75.050003,2017-07-13,75.25,74.510002,74.669998,8160500
74.548195,76.339996,2017-07-14,76.559998,75.910004,76.269997,9151900
74.577499,76.370003,2017-07-17,76.870003,76.190002,76.290001,8835600
74.411476,76.199997,2017-07-18,76.540001,76.0,76.25,4314900
74.089233,75.870003,2017-07-19,76.220001,75.599998,76.080002,5313600
74.23571,76.019997,2017-07-20,76.25,75.699997,75.980003,4965400
74.362663,76.150002,2017-07-21,76.230003,75.550003,75.839996,7153300
75.085297,76.889999,2017-07-24,77.160004,76.029999,76.029999,7388000
76.677025,78.519997,2017-07-25,78.860001,77.389999,77.610001,11504000
77.048111,78.900002,2017-07-26,79.169998,77.940002,78.550003,6716100
77.907455,79.779999,2017-07-27,79.860001,78.480003,78.720001,8052500
77.936752,79.809998,2017-07-28,79.959999,79.540001,79.800003,4975200
78.112534,79.989998,2017-07-31,80.339996,79.690002,79.82,6263200
78.610558,80.5,2017-08-01,80.730003,80.0,80.25,5726500
78.639854,80.529999,2017-08-02,81.110001,80.300003,80.339996,8673000
78.97187,80.870003,2017-08-03,81.760002,80.669998,81.339996,9946900
78.591034,80.480003,2017-08-04,81.400002,80.209999,81.059998,7141800
79.372246,81.279999,2017-08-07,81.449997,80.540001,80.57,5484500
79.674973,81.589996,2017-08-08,81.860001,80.900002,81.169998,7381400
80.195793,81.610001,2017-08-09,81.989998,80.900002,81.110001,6606500
79.262253,80.660004,2017-08-10,81.400002,80.550003,81.07,8045000
79.00676,80.400002,2017-08-11,81.25,80.360001,80.730003,7905500
79.301552,80.699997,2017-08-14,81.239998,80.5,80.589996,7760500
79.370346,80.769997,2017-08-15,81.400002,80.540001,80.830002,7066100
79.576714,80.980003,2017-08-16,81.440002,80.540001,81.269997,11536000
78.318886,79.699997,2017-08-17,79.809998,78.330002,78.849998,17293700
77.935646,79.309998,2017-08-18,80.349998,79.279999,79.620003,9753000
78.328712,79.709999,2017-08-21,80.07,78.790001,79.120003,9613900
78.633339,80.019997,2017-08-22,80.160004,79.709999,79.800003,6546100
78.574387,79.959999,2017-08-23,80.559998,79.879997,80.349998,7799300
76.982445,78.339996,2017-08-24,80.879997,77.849998,80.610001,19128000
77.267426,78.629997,2017-08-25,79.089996,78.480003,78.5,9902200
76.677826,78.029999,2017-08-28,78.459999,77.860001,78.410004,8621500
77.404999,78.769997,2017-08-29,78.980003,77.5,77.669998,7665200
77.178986,78.540001,2017-08-30,79.099998,78.519997,78.82,5829800
76.717133,78.07,2017-08-31,78.75,78.059998,78.599998,8194800
77.011932,78.370003,2017-09-01,78.5,78.209999,78.309998,6474400
78.417152,79.800003,2017-09-05,79.889999,77.900002,77.949997,12068500
78.692299,80.080002,2017-09-06,80.400002,79.720001,79.879997,8426100
78.731606,80.120003,2017-09-07,80.760002,80.0,80.32,6820800
77.5131,78.879997,2017-09-08,79.879997,77.730003,79.739998,9999600
77.709633,79.080002,2017-09-11,79.349998,78.660004,79.150002,7000200
78.230446,79.610001,2017-09-12,79.910004,79.169998,79.300003,6005000
78.476112,79.860001,2017-09-13,80.68,79.589996,79.610001,8823700
78.299232,79.68,2017-09-14,79.82,79.220001,79.790001,6939300
78.987099,80.379997,2017-09-15,80.75,79.269997,79.809998,13317800
78.613686,80.0,2017-09-18,81.120003,79.949997,80.209999,8176100
78.662819,80.050003,2017-09-19,80.459999,79.699997,80.18,6174400
79.105019,80.5,2017-09-20,80.559998,79.870003,80.169998,5318200
78.62352,80.010002,2017-09-21,80.57,79.720001,80.57,6430300
78.151825,79.529999,2017-09-22,80.080002,79.25,79.889999,5755300
77.778412,79.150002,2017-09-25,80.099998,78.860001,78.919998,8547800
78.014252,79.389999,2017-09-26,79.540001,78.919998,79.040001,5835300
77.915985,79.290001,2017-09-27,79.57,78.669998,79.419998,6314600
77.581879,78.949997,2017-09-28,79.080002,78.120003,79.0,12372800
76.785919,78.139999,2017-09-29,79.0,77.980003,78.849998,10353400
77.090553,78.449997,2017-10-02,78.830002,77.5,77.900002,7709200
77.847206,79.220001,2017-10-03,79.660004,78.75,78.830002,7936700
77.719452,79.089996,2017-10-04,79.779999,79.07,79.269997,6173400
78.03392,79.410004,2017-10-05,79.809998,79.080002,79.169998,5138700
77.631012,79.0,2017-10-06,79.169998,78.25,78.779999,6246700
79.134506,80.529999,2017-10-09,81.379997,79.400002,79.5,13493000
82.672119,84.129997,2017-10-10,84.879997,82.610001,82.68,25124000
84.2444,85.730003,2017-10-11,86.290001,84.099998,84.580002,18561000
84.607979,86.099998,2017-10-12,86.370003,85.059998,85.699997,12877000
85.11898,86.620003,2017-10-13,86.949997,86.239998,86.239998,9389000
84.254219,85.739998,2017-10-16,86.620003,85.019997,86.580002,9300300
84.490067,85.980003,2017-10-17,86.360001,85.32,85.5,5851500
84.725906,86.220001,2017-10-18,86.370003,86.010002,86.150002,5472100
84.902786,86.400002,2017-10-19,86.660004,85.769997,86.150002,7029000
85.924767,87.440002,2017-10-20,87.449997,86.279999,86.599998,7617800
87.1138,88.650002,2017-10-23,88.919998,87.260002,87.339996,10586000
86.455414,87.980003,2017-10-24,88.800003,87.910004,88.690002,7700900
86.946739,88.480003,2017-10-25,88.599998,87.43,87.849998,6408000
87.084312,88.620003,2017-10-26,89.110001,88.019997,88.660004,6484900
86.642113,88.169998,2017-10-27,88.389999,87.150002,88.139999,6617000
85.443253,86.949997,2017-10-30,87.949997,86.389999,87.940002,7052000
85.797005,87.309998,2017-10-31,87.459999,86.599998,86.860001,6006900
86.4161,87.940002,2017-11-01,88.400002,87.0,87.07,6176100
87.2612,88.800003,2017-11-02,89.169998,87.800003,88.279999,5183100
88.125954,89.68,2017-11-03,89.879997,88.760002,89.019997,6512100
87.162926,88.699997,2017-11-06,89.68,88.68,89.419998,5257400
87.408592,88.949997,2017-11-07,89.059998,88.309998,88.870003,5349300
88.6959,90.260002,2017-11-08,90.419998,89.099998,89.110001,6767500
88.735207,90.300003,2017-11-09,90.57,89.349998,89.940002,6904500
89.344452,90.919998,2017-11-10,91.690002,90.199997,90.239998,7647800
89.413239,90.989998,2017-11-13,91.980003,90.870003,91.040001,8491600
89.511505,91.089996,2017-11-14,91.199997,90.18,90.699997,9834100
88.273346,89.830002,2017-11-15,90.849998,89.650002,90.339996,8433400
97.893692,99.620003,2017-11-16,99.68,94.720001,95.120003,38122400
95.780952,97.470001,2017-11-17,100.129997,96.580002,99.239998,23575500
