index,close,returns,mfi,normal_close,normal_returns,normal_mfi
14,194.990433,0.0042264231100645625,73.66822019771075,-0.9803743627269759,-0.17373896522455837,0.3620492763755543
15,195.254776,0.0013547535464057288,73.9598472756139,-0.9772754495575575,-0.21119505361761154,0.37119363163137065
16,197.986221,0.013892187995750363,80.71134803877888,-0.9452545112991495,-0.047665356851791935,0.5828959259869073
17,195.783447,-0.011188251188504417,86.83308681082632,-0.9710777990648656,-0.37479740536823747,0.7748511947411316
18,194.716324,-0.00546543550384463,81.58014137413136,-0.9835877634599486,-0.3001529222931526,0.6101380975968675
19,195.430984,0.0036635434086872572,81.53203954235006,-0.9752097497215226,-0.18108078202557681,0.6086298006258648
20,193.31633,-0.010879431351406139,75.55471699065473,-1.0,-0.37076937120223696,0.4212028947146833
21,193.60025,0.0014676034351399473,81.46104866182947,-0.9966715841650382,-0.20972311706158608,0.6064037870606254
22,194.422607,0.0042387102533533675,81.33094807343682,-0.9870310302738305,-0.17357870015404056,0.6023243099153368
23,197.57501200000002,0.016084143410156227,81.59676544157719,-0.9500751457985812,-0.01907499367260701,0.6106593673623997
24,197.25195300000001,-0.0016364590098143453,81.57517349923525,-0.9538623911184847,-0.2502103788228692,0.6099823232660233
25,198.123276,0.004407582198746935,79.81753296838966,-0.9436478050711248,-0.17137605031096143,0.5548691645647179
26,199.679932,0.007826301619733956,79.84043337729443,-0.9253990079452152,-0.1267846187465356,0.5555872373720665
27,201.941452,0.011262069168723162,79.75102749757852,-0.8988870363367245,-0.08197082309208115,0.5527837969921143
28,202.10788,0.0008238004433189519,87.78619783401953,-0.8969359881873125,-0.21812044176583753,0.8047372597011493
29,201.902252,-0.0010179349549373565,81.94920387955099,-0.8993465809293224,-0.2421427752357823,0.6217105437682746
30,204.134445,0.010995141594420216,81.46200618619022,-0.8731784119807071,-0.08545244331195623,0.6064338115116601
31,204.61416599999998,0.002347267769717316,81.16279081525666,-0.8675546060749464,-0.19824937875648466,0.5970515152259694
32,203.870102,-0.0036430525296222093,81.78109457169852,-0.8762773251501259,-0.2763830085703843,0.6164392526252653
33,206.454697,0.012597967217034288,81.92343253969847,-0.8459779206525102,-0.06454628511080476,0.6209024490991362
34,205.867279,-0.002849318889655762,88.6633515301524,-0.8528642667110535,-0.26603009131438793,0.8322415815530979
35,207.68826299999998,0.0088065354416782,88.66680978118971,-0.8315167322618704,-0.1139991210189266,0.8323500196181652
36,207.727402,0.0001884329524060699,88.98805772433647,-0.8310579027769287,-0.22640773958132276,0.8424231765364332
37,208.001526,0.0013187633636514904,89.09087101753177,-0.8278443261978112,-0.21166448487933628,0.8456470242146326
38,228.55105600000002,0.09421420898737759,92.0139277851749,-0.5869406172198519,1.0,0.9373033604795551
39,235.94262700000002,0.031829044338124717,93.32602367793336,-0.500288666101071,0.18629069615503935,0.9784458739229258
40,236.20697,0.0011197426802842803,93.62064142098764,-0.4971897529316527,-0.2142603741844937,0.9876840054658746
41,237.372009,0.00492015651845575,94.01341678863025,-0.4835319117934871,-0.16469038240892023,0.9999999999999996
42,234.415375,-0.012533920181965887,85.6930230498624,-0.5181927578902266,-0.392349388857126,0.739102977807728
43,232.956635,-0.006242328190980916,80.95688530357702,-0.5352936782730535,-0.3102861777099831,0.5905950737958134
44,233.25033599999998,0.0012599598767223253,73.75271508449174,-0.5318505990283926,-0.21243147723532038,0.3646987260342791
45,232.72168,-0.002269047104402581,66.90865379713111,-0.5380480736749393,-0.2584614240988099,0.15009407322151214
46,235.18878199999997,0.010545286172287746,70.26493628688566,-0.5091260485859501,-0.09132004892672599,0.2553347787344098
47,234.474121,-0.0030432957213066274,71.44578949708905,-0.5175040740474519,-0.26856019207683846,0.29236200314961813
48,230.761215,-0.015961749002027688,65.4778718760493,-0.5610307545353521,-0.4370596371758436,0.10523000135944427
49,229.352875,-0.006121718194618194,59.32240830176301,-0.5775408318705519,-0.30871302363194497,-0.08778275346507836
50,231.32257099999998,0.008551391310891178,59.9464884444708,-0.5544499352924288,-0.11732704608268328,-0.0682138897846074
51,233.558167,0.009618007592405083,60.11522981165558,-0.528241872715022,-0.1034148347936685,-0.06292277957980597
52,235.54760699999997,0.008481890598462988,54.174899816515996,-0.5049195157176065,-0.1182335657119033,-0.2491897346338896
53,233.99151600000002,-0.006628187602411426,48.552713886227394,-0.5231616893053825,-0.3153190632497171,-0.4254808590057031
54,232.02182000000002,-0.008453439322303757,42.58103198243427,-0.5462525858835061,-0.3391263949236136,-0.6127308948928056
55,232.19909700000002,0.0007637613994788302,34.826256042074334,-0.5441743540788622,-0.21890354987882138,-0.8558922180380479
56,232.110458,-0.0003818099374536771,36.37954008587717,-0.5452134758427225,-0.23384559676322042,-0.8071869290372726
57,236.11880499999998,0.017121718943855484,43.16472511274112,-0.498223317957327,-0.00554156998189792,-0.5944284197513234
58,234.483948,-0.006947955855941487,45.2929738073248,-0.5173888713762409,-0.3194899010512132,-0.5276943487043806
59,235.1241,0.0027263263448715517,48.06987323827628,-0.5098843206098898,-0.19330519866111467,-0.4406209703031869
60,232.31727599999996,-0.012009453501593695,41.798576479425,-0.542788932639866,-0.3855086051583906,-0.637265828832519
61,233.587738,0.005453751776913227,33.32782769492451,-0.5278952096245191,-0.15773053179803298,-0.9028774336436942
62,236.84761,0.01385918040610446,43.128690957296094,-0.4896794813040466,-0.04809588521447841,-0.5955583186657241
63,236.818085,-0.00012466598425818067,54.52555867144037,-0.49002560513303806,-0.23049158738744885,-0.2381943594235969
