Adj Close,Close,Date,High,Low,Open,Volume
199.611206,204.350006,2017-06-01,204.899994,203.679993,204.25,2352700
201.906708,206.699997,2017-06-02,207.389999,204.789993,205.059998,1831900
201.437836,206.220001,2017-06-05,207.330002,206.220001,206.770004,1253100
200.646622,205.410004,2017-06-06,206.660004,205.410004,206.009995,1458800
200.255905,205.009995,2017-06-07,205.869995,204.100006,205.729996,1885600
201.164352,205.940002,2017-06-08,206.029999,204.089996,205.009995,2441400
202.131393,206.929993,2017-06-09,206.970001,205.639999,206.0,1893100
202.580704,207.389999,2017-06-12,208.419998,205.5,206.929993,2388200
204.260834,209.110001,2017-06-13,209.669998,207.559998,207.580002,1688800
205.139954,210.009995,2017-06-14,210.789993,209.529999,209.779999,1585300
206.390274,211.289993,2017-06-15,211.320007,209.440002,209.5,1594100
208.295044,213.240005,2017-06-16,213.460007,211.440002,211.729996,3420600
208.412262,213.360001,2017-06-19,214.0,212.699997,214.0,1667600
208.412262,213.360001,2017-06-20,214.570007,213.050003,213.449997,1531200
207.923859,212.860001,2017-06-21,214.020004,212.089996,214.020004,1812900
207.298706,212.220001,2017-06-22,213.119995,212.089996,212.729996,1400400
207.962936,212.899994,2017-06-23,213.169998,211.710007,212.0,1584900
207.679657,212.610001,2017-06-26,213.470001,212.309998,212.789993,1352100
204.915298,209.779999,2017-06-27,212.5,209.380005,212.0,2240200
205.735809,210.619995,2017-06-28,211.179993,210.089996,210.779999,1542900
203.03006,207.850006,2017-06-29,211.050003,207.080002,211.050003,1809900
203.362167,208.190002,2017-06-30,209.910004,207.850006,209.910004,1770000
204.964127,209.830002,2017-07-03,210.339996,208.75,209.139999,1040200
204.895752,209.759995,2017-07-05,210.240005,209.410004,210.0,1065300
203.196106,208.020004,2017-07-06,209.720001,207.889999,209.050003,1189900
204.729706,209.589996,2017-07-07,210.149994,208.050003,208.5,1531000
205.608841,210.490005,2017-07-10,211.740005,208.990005,209.600006,1308400
204.79808,209.660004,2017-07-11,211.199997,208.0,210.410004,1268100
206.400055,211.300003,2017-07-12,212.779999,210.270004,210.910004,1447900
206.194901,211.089996,2017-07-13,212.0,210.179993,211.199997,1138800
206.859131,211.770004,2017-07-14,212.240005,210.630005,211.520004,1062000
206.771225,211.679993,2017-07-17,212.199997,210.589996,212.199997,1311300
206.409805,211.309998,2017-07-18,211.520004,210.300003,210.679993,1562600
207.181488,212.100006,2017-07-19,212.110001,211.169998,211.509995,825300
207.523376,212.449997,2017-07-20,213.410004,212.059998,212.210007,1347400
206.26329,211.160004,2017-07-21,211.839996,209.479996,211.649994,2246200
205.130188,210.0,2017-07-24,211.660004,210.0,211.199997,2165200
194.766235,199.389999,2017-07-25,204.5,197.169998,202.649994,6593000
